year,stage,input,output,capacity
2064,proc,spod,loh,2781.137851
2064,proc,spod,lce,100
2064,proc,clay,loh,100
2064,proc,clay,lce,1579.003786
2065,proc,brine,loh,100
2065,proc,brine,lce,100
2065,proc,spod,loh,100
2065,proc,spod,lce,100
2065,proc,clay,loh,2833.328026
2065,proc,clay,lce,1607.793602
2066,proc,brine,loh,100
2066,proc,brine,lce,100
2066,proc,spod,loh,100
2066,proc,spod,lce,100
2066,proc,clay,loh,2884.582787
2066,proc,clay,lce,1636.067413
2067,proc,brine,loh,100
2067,proc,brine,lce,100
2067,proc,spod,loh,100
2067,proc,spod,lce,100
2067,proc,clay,loh,2934.932277
2067,proc,clay,lce,1663.841847
2068,proc,brine,loh,100
2068,proc,brine,lce,100
2068,proc,spod,loh,100
2068,proc,spod,lce,100
2068,proc,clay,loh,2984.41283
2068,proc,clay,lce,1691.136947
2069,proc,brine,loh,100
2069,proc,brine,lce,100
2069,proc,spod,loh,100
2069,proc,spod,lce,100
2069,proc,clay,loh,3033.065776
2069,proc,clay,lce,1717.975512
2070,proc,brine,loh,100
2070,proc,brine,lce,100
2070,proc,spod,loh,100
2070,proc,spod,lce,100
2070,proc,clay,loh,3080.936338
2070,proc,clay,lce,1744.382487
2071,proc,brine,loh,100
2071,proc,brine,lce,100
2071,proc,spod,loh,100
2071,proc,spod,lce,100
2071,proc,clay,loh,3128.072637
2071,proc,clay,lce,1770.38442
2072,proc,brine,loh,100
2072,proc,brine,lce,100
2072,proc,spod,loh,100
2072,proc,spod,lce,100
2072,proc,clay,loh,3174.524805
2072,proc,clay,lce,1796.008963
2073,proc,brine,loh,100
2073,proc,brine,lce,100
2073,proc,spod,loh,100
2073,proc,spod,lce,100
2073,proc,clay,loh,3220.344209
2073,proc,clay,lce,1821.284452
2074,proc,brine,loh,100
2074,proc,brine,lce,100
2074,proc,spod,loh,100
2074,proc,spod,lce,100
2074,proc,clay,loh,3265.582777
2074,proc,clay,lce,1846.239534
2075,proc,brine,loh,100
2075,proc,brine,lce,100
2075,proc,spod,loh,100
2075,proc,spod,lce,100
2075,proc,clay,loh,3310.292432
2075,proc,clay,lce,1870.90285
2076,proc,brine,loh,100
2076,proc,brine,lce,100
2076,proc,spod,loh,100
2076,proc,spod,lce,100
2076,proc,clay,loh,3354.524611
2076,proc,clay,lce,1895.302774
